date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-06-01,10184.226,10284.36,10209.142,10177.215,265378464,49.208,0.48,9955.538,9885.264,9893.076,197124265.6,176866881.6,175224833.6
2016-06-02,10192.512,10274.025,10274.025,10181.179,231725616,64.883,0.64,10045.114,9939.293,9883.077,210255331.2,184387531.2,177767556.8
2016-06-03,10275.941,10412.948,10344.908,10258.023,251444672,70.883,0.69,10151.37,9992.108,9895.295,228600268.8,194533766.4,177377304
2016-06-06,10383.453,10403.805,10363.085,10296.178,208363872,18.177,0.18,10270.219,10036.6,9923.926,242549932.8,198470555.2,177698126.4
2016-06-07,10365.814,10371.872,10347.841,10297.415,199520848,-15.244,-0.15,10307.8,10089.215,9951.657,231286694.4,202848332.8,180829608.8
2016-06-08,10330.181,10372.978,10316.823,10232.13,208133520,-31.018,-0.3,10329.336,10142.437,9978.441,219837705.6,208480985.6,183531504
2016-06-13,10190.781,10256.622,9862.584,9862.584,233249792,-454.239,-4.4,10247.048,10146.081,9981.741,220142540.8,215198936,187393518.4
2016-06-14,9830.551,9927.595,9895.15,9795.936,169160288,32.566,0.33,10157.097,10154.233,9988.535,203685664,216142966.4,188728736
2016-06-15,9790.877,10215.61,10173.846,9779.108,229617520,278.696,2.82,10119.249,10194.734,10001.723,207936393.6,225243163.2,192756423.2
2016-06-16,10154.182,10199.522,10115.122,10090.234,234661824,-58.724,-0.58,10072.705,10190.253,10012.04,214964588.8,223125641.6,195610910.4
2016-06-17,10135.377,10261.965,10182.526,10113.954,226520288,67.404,0.67,10045.846,10187.591,10036.427,218641942.4,219239824,198053352.8
2016-06-20,10183.771,10241.907,10221.852,10101.631,199578496,39.326,0.39,10117.699,10182.374,10060.833,211907683.2,216025112,200206321.6
2016-06-21,10285.042,10357.183,10131.856,10093.152,234898496,-89.996,-0.88,10165.04,10161.069,10076.588,225055324.8,214370494.4,204452130.4
2016-06-22,10108.958,10297.977,10297.977,10104.883,197126768,166.121,1.64,10189.867,10154.558,10095.579,218557174.4,213246784,205858669.6
2016-06-23,10288.466,10312.614,10255.268,10183.01,217227968,-42.709,-0.41,10217.896,10145.3,10117.258,215070403.2,215017496,208932914.4
2016-06-24,10235.045,10315.349,10147.704,9901.9,270946432,-107.564,-1.05,10210.931,10128.389,10135.413,223955632,221298787.2,214889886.4
2016-06-27,10090.053,10377.573,10377.573,10090.053,234958800,229.869,2.27,10242.076,10179.887,10162.984,231031692.8,221469688,218334312
2016-06-28,10330.121,10475.762,10463.448,10309.23,268308768,85.875,0.83,10308.394,10236.717,10195.475,237713747.2,231384536,223763751.2
2016-06-29,10499.907,10527.687,10460.967,10434.235,249559904,-2.481,-0.02,10340.992,10265.429,10230.082,248200374.4,233378774.4,229310968.8
2016-06-30,10474.935,10509.986,10489.993,10435.529,223147008,29.026,0.28,10387.937,10302.916,10246.585,249384182.4,232227292.8,227676467.2
2016-07-01,10506.224,10555.953,10458.432,10436.596,204800608,-31.561,-0.3,10450.083,10330.507,10259.049,236155017.6,230055324.8,224647574.4
2016-07-04,10369.69,10631.571,10609.859,10362.853,254107840,151.427,1.45,10496.54,10369.308,10275.841,239984825.6,235508259.2,225766685.6
2016-07-05,10598.419,10626.02,10602.772,10546.702,263764208,-7.087,-0.07,10524.405,10416.399,10288.734,239075913.6,238394830.4,226382662.4
2016-07-06,10567.668,10641.647,10641.647,10538.096,249830736,38.875,0.37,10560.541,10450.766,10302.662,239130080,243665227.2,228456005.6
2016-07-07,10612.231,10662.704,10620.582,10526.813,280981984,-21.065,-0.2,10586.658,10487.298,10316.299,250697075.2,250040628.8,232529062.4
2016-07-08,10613.714,10672.921,10611.802,10560.307,226836464,-8.78,-0.08,10617.332,10533.708,10331.048,255104246.4,245629632,233464209.6
2016-07-11,10633.625,10734.338,10594.819,10587.959,262658128,-16.983,-0.16,10614.324,10555.432,10367.66,256814304,248399564.8,234934626.4
2016-07-12,10583.168,10757.845,10757.845,10487.549,283692416,163.026,1.54,10645.339,10584.872,10410.795,260799945.6,249937929.6,240661232.8
2016-07-13,10794.501,10890.023,10853.555,10772.83,285320800,95.71,0.89,10687.721,10624.131,10444.78,267897958.4,253514019.2,243446396.8
2016-07-14,10834.902,10866.439,10854.135,10786.494,235098208,0.58,0.01,10734.431,10660.545,10481.731,258721203.2,254709139.2,243468216
2016-07-15,10854.499,10869.067,10823.214,10774.544,225067264,-30.921,-0.28,10776.714,10697.023,10513.765,258367363.2,256735804.8,243395564.8
2016-07-18,10793.175,10835.303,10761.999,10708.739,218879296,-61.215,-0.57,10810.15,10712.237,10540.772,249611596.8,253212950.4,244360604.8
2016-07-19,10753.873,10783.218,10778.248,10661.386,200363648,16.249,0.15,10814.23,10729.785,10573.092,232945843.2,246872894.4,242633862.4
2016-07-20,10775.56,10818.945,10759.86,10740.594,201056496,-18.388,-0.17,10795.491,10741.606,10596.186,216092982.4,241995470.4,242830348.8
2016-07-21,10758.335,10872.344,10787.212,10746.877,215917936,27.352,0.25,10782.107,10758.269,10622.783,212256928,235489065.6,242764847.2
2016-07-22,10782.242,10801.469,10709.067,10700.111,209978880,-78.145,-0.72,10759.277,10767.995,10650.851,209239251.2,233803307.2,239716469.6
2016-07-25,10684.55,10778.726,10718.355,10668.641,193466400,9.288,0.09,10750.548,10780.349,10667.891,204156672,226884134.4,237641849.6
2016-07-26,10714.751,10852.206,10852.206,10713.695,189431008,133.851,1.25,10765.34,10789.785,10687.328,201970144,217457993.6,233697961.6
2016-07-27,10858.702,10873.262,10405.85,10289.956,319061888,-446.356,-4.11,10694.538,10745.015,10684.573,225571222.4,220832102.4,237173060.8
2016-07-28,10386.834,10481.688,10396.305,10262.3,218537280,-9.545,-0.09,10616.357,10699.232,10679.888,226095091.2,219176009.6,236942574.4
2016-07-29,10384.401,10411.126,10329.435,10294.495,168147008,-66.87,-0.64,10540.43,10649.854,10673.438,217728716.8,213483984,235109894.4
2016-08-01,10289.885,10290.05,10185.477,10086.645,171711760,-143.958,-1.39,10433.855,10592.202,10652.219,213377788.8,208767230.4,230990090.4
