date,open,high,low,close,volume,cma,y
 2015/08/21,3609.96,3652.84,3490.54,3507.74,369920480,3402.3528571429,-1
 2015/08/24,3373.48,3388.36,3191.88,3209.91,334671808,3307.4142857143,-1
 2015/08/25,3004.13,3123.03,2947.94,2964.97,352325120,3227.1628571429,-1
 2015/08/26,2980.79,3092.04,2850.71,2927.29,466699648,3161.6914285714,1
 2015/08/27,2978.03,3085.42,2906.49,3083.59,400308384,3112.96,1
 2015/08/28,3125.26,3235.84,3102.95,3232.35,443136928,3105.8542857143,1
 2015/08/31,3203.56,3207.86,3109.16,3205.99,397431392,3122.3471428571,1
 2015/09/01,3157.83,3180.33,3053.74,3166.62,432432480,3157.0842857143,-1
 2015/09/02,3027.68,3194.48,3019.09,3160.17,438170144,3179.87,-1
 2015/09/07,3149.38,3217.58,3066.3,3080.42,296468128,3174.9471428571,-1
 2015/09/08,3054.44,3174.71,3011.12,3170.45,255415472,3174.1242857143,-1
 2015/09/09,3182.55,3256.74,3165.7,3243.09,375327968,3166.7214285714,-1
 2015/09/10,3190.55,3243.28,3178.9,3197.89,273261760,3144.5785714286,-1
 2015/09/11,3189.48,3223.76,3163.45,3200.23,224557824,3154.8414285714,-1
 2015/09/14,3221.17,3229.48,3049.23,3114.8,346631168,3142.7857142857,-1
 2015/09/15,3043.8,3081.7,2983.92,3005.17,249194448,3122.0471428571,-1
 2015/09/16,2998.04,3182.93,2983.54,3152.26,277524512,3116.14,-1
 2015/09/17,3131.98,3204.7,3085.31,3086.06,317602880,3114.0528571429,1
 2015/09/18,3100.28,3122.05,3070.34,3097.92,209175392,3114.2085714286,1
 2015/09/21,3072.09,3159.88,3060.86,3156.54,239897360,3133.8542857143,-1
 2015/09/22,3161.32,3213.48,3152.48,3185.62,274786144,3125.2957142857,-1
 2015/09/23,3137.72,3164.04,3104.74,3115.89,236322672,3127.3957142857,-1
 2015/09/24,3126.49,3151.16,3109.69,3142.69,212887728,3118.8557142857,-1
 2015/09/25,3130.85,3149.95,3063,3092.35,236263872,3104.0328571429,1
 2015/09/28,3085.57,3103.07,3042.31,3100.76,156727536,3097.9957142857,1
 2015/09/29,3055.22,3068.3,3021.16,3038.14,163222672,3107.6042857143,1
 2015/09/30,3052.84,3073.3,3039.74,3052.78,146642448,3128.3142857143,1
 2015/10/08,3156.07,3172.28,3133.13,3143.36,234276048,3157.0114285714,1
 2015/10/09,3146.64,3192.72,3137.79,3183.15,234851440,3180.1085714286,1
 2015/10/12,3193.54,3318.71,3188.41,3287.66,386294720,3222.9557142857,1
 2015/10/13,3262.16,3298.63,3253.25,3293.23,297153120,3271.3228571429,1
 2015/10/14,3280.02,3307.32,3256.25,3262.44,295077728,3306.0857142857,1
